;Canal 1;Canal 2;Canal 3;Canal 4;Canal 5;Canal 6;Canal 7;Canal 8;Canal 9;Canal 10;Canal 11;Canal 12;Canal 13;Canal 14;Canal 15;Canal 16;Canal 17;Canal 18;Canal 19;Canal 20;Canal 21;Canal 22;Canal 23;Canal 24;Canal 25;Canal 26;Canal 27;Canal 28;Canal 29;Canal 30;Canal 31;Canal 32
Mix 1;28EA;28EB;28EC;28ED;28EE;28EF;28F0;28F1;28F2;28F3;28F4;28F5;28F6;28F7;28F8;28F9;28FA;28FB;28FC;28FD;28FE;28FF;2900;2901;2902;2903;2904;2905;2906;2907;2908;2909
Mix 2;292A;292B;292C;292D;292E;292F;2930;2931;2932;2933;2934;2935;2936;2937;2938;2939;293A;293B;293C;293D;293E;293F;2940;2941;2942;2943;2944;2945;2946;2947;2948;2949
Mix 3;296A;296B;296C;296D;296E;296F;2970;2971;2972;2973;2974;2975;2976;2977;2978;2979;297A;297B;297C;297D;297E;297F;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989
Mix 4;29AA;29AB;29AC;29AD;29AE;29AF;29B0;29B1;29B2;29B3;29B4;29B5;29B6;29B7;29B8;29B9;29BA;29BB;29BC;29BD;29BE;29BF;29C0;29C1;29C2;29C3;29C4;29C5;29C6;29C7;29C8;29C9
Mix 5;29EA;29EB;29EC;29ED;29EE;29EF;29F0;29F1;29F2;29F3;29F4;29F5;29F6;29F7;29F8;29F9;29FA;29FB;29FC;29FD;29FE;29FF;2A00;2A01;2A02;2A03;2A04;2A05;2A06;2A07;2A08;2A09
Mix 6;2A2A;2A2B;2A2C;2A2D;2A2E;2A2F;2A30;2A31;2A32;2A33;2A34;2A35;2A36;2A37;2A38;2A39;2A3A;2A3B;2A3C;2A3D;2A3E;2A3F;2A40;2A41;2A42;2A43;2A44;2A45;2A46;2A47;2A48;2A49
Mix 7;2A6A;2A6B;2A6C;2A6D;2A6E;2A6F;2A70;2A71;2A72;2A73;2A74;2A75;2A76;2A77;2A78;2A79;2A7A;2A7B;2A7C;2A7D;2A7E;2A7F;2A80;2A81;2A82;2A83;2A84;2A85;2A86;2A87;2A88;2A89
Mix 8;2AAA;2AAB;2AAD;2AAF;2AB1;2AB3;2AB5;2AB7;2AB9;2ABB;2ABD;2ABF;2AC1;2AC3;2AC5;2AC7;2AC9;2ACB;2ACD;2ACF;2AD1;2AD3;2AD5;2AD7;2AD9;2ADB;2ADD;2ADF;2AE1;2AE3;2AE5;2AE7
Mix 9;007E;007F;0080;0081;0082;0083;0084;0085;0086;0087;0088;0089;008A;008B;008C;008D;008E;008F;0090;0091;0092;0093;0094;0095;0096;0097;0098;0099;009A;009B;009C;009D
Mix 10;00DE;00DF;00E0;00E1;00E2;00E3;00E4;00E5;00E6;00E7;00E8;00E9;00EA;00EB;00EC;00ED;00EE;00EF;00F0;00F1;00F2;00F3;00F4;00F5;00F6;00F7;00F8;00F9;00FA;00FB;00FC;00FD
Mix 11;013E;013F;0140;0141;0142;0143;0144;0145;0146;0147;0148;0149;014A;014B;014C;014D;014E;014F;0150;0151;0152;0153;0154;0155;0156;0157;0158;0159;015A;015B;015C;015D
Mix 12;019E;019F;01A0;01A1;01A2;01A3;01A4;01A5;01A6;01A7;01A8;01A9;01AA;01AB;01AC;01AD;01AE;01AF;01B0;01B1;01B2;01B3;01B4;01B5;01B6;01B7;01B8;01B9;01BA;01BB;01BC;01BD
Mix 13;01FE;01FF;0200;0201;0202;0203;0204;0205;0206;0207;0208;0209;020A;020B;020C;020D;020E;020F;0210;0211;0212;0213;0214;0215;0216;0217;0218;0219;021A;021B;021C;021D
Mix 14;025E;025F;0260;0261;0262;0263;0264;0265;0266;0267;0268;0269;026A;026B;026C;026D;026E;026F;0270;0271;0272;0273;0274;0275;0276;0277;0278;0279;027A;027B;027C;027D
Mix 15;02BE;02BF;02C0;02C1;02C2;02C3;02C4;02C5;02C6;02C7;02C8;02C9;02CA;02CB;02CC;02CD;02CE;02CF;02D0;02D1;02D2;02D3;02D4;02D5;02D6;02D7;02D8;02D9;02DA;02DB;02DC;02DD
Mix 16;031E;031F;0320;0321;0322;0323;0324;0325;0326;0327;0328;0329;032A;032B;032C;032D;032E;032F;0330;0331;0332;0333;0334;0335;0336;0337;0338;0339;033A;033B;033C;033D
